"","GPS_Pond_name","Longitude","Latitude","DateRange","SampledYears","NumberOfSamplingEvents","MeasuredMudYN","MeasuredInvertsYN","NutrientsYN","YSIYN","FiltersYN"
"1","P_CM_1",-70.2240455555555,-0.500376666666667,"2018-06-29 to 2022-10-26","2018, 2019, 2020, 2022",10,"No","Yes","Yes","Yes","No"
"2","P_Caseta_1",-50.2325048888889,-0.386228666666667,"2019-08-13 to 2023-10-20","2019, 2020, 2022, 2023",9,"Yes","Yes","Yes","Yes","No"
"3","P_Caseta_2",-38.7504871428571,-0.297675714285714,"2019-08-13 to 2023-10-20","2019, 2020, 2022, 2023",7,"Yes","Yes","Yes","Yes","No"
"4","P_Chato_1",-70.3396466666667,-0.226,"2018-06-21 to 2023-09-29","2018, 2019, 2020, 2022, 2023",9,"Yes","Yes","Yes","Yes","No"
"5","P_Chato_2",-62.6124238461538,0.0521553846153847,"2018-06-15 to 2023-09-29","2018, 2019, 2020, 2022, 2023",13,"No","Yes","Yes","Yes","No"
"6","P_Laguna_Ch",-75.3652083333333,-0.336480833333333,"2018-06-15 to 2023-09-29","2018, 2019, 2020, 2022, 2023",12,"Yes","Yes","Yes","Yes","No"
"7","P_Manzan_1",-45.201265,-0.349115,"2019-08-14 to 2022-11-11","2019, 2020, 2022",8,"Yes","Yes","Yes","Yes","No"
"8","P_Manzan_2",-54.240522,-0.418312,"2019-08-14 to 2020-07-24","2019, 2020",5,"Yes","Yes","Yes","Yes","No"
"9","P_Montem_1",-64.5663571428571,-0.487114285714286,"2019-08-07 to 2024-01-26","2019, 2020, 2024",7,"Yes","Yes","Yes","Yes","No"
"10","P_Pikaia_1",-70.2186411111111,-0.502201111111111,"2018-06-29 to 2022-10-26","2018, 2019, 2020, 2022",9,"No","Yes","Yes","Yes","No"
"11","P_Primic_1",-90.43114,-0.6709625,"2019-08-19 to 2023-09-29","2019, 2020, 2023",4,"Yes","Yes","Yes","Yes","No"
"12","P_Primic_2",-70.3349266666667,-0.223702222222222,"2018-06-21 to 2023-09-29","2018, 2019, 2020, 2022, 2023",9,"Yes","Yes","Yes","Yes","No"
"13","P_Primic_3",-60.28709,-0.447153333333333,"2018-06-15 to 2023-09-29","2018, 2019, 2020, 2023",6,"Yes","Yes","Yes","Yes","No"
"14","P_Primic_4",-90.430844,-0.67019,"2019-08-19 to 2023-09-29","2019, 2020, 2023",5,"Yes","Yes","Yes","Yes","No"
"15","P_Primic_5",-90.43077,-0.669746666666667,"2019-08-19 to 2020-03-13","2019, 2020",3,"No","Yes","Yes","Yes","No"
"16","P_Primic_6",-60.2867583333333,-0.446715,"2019-08-20 to 2023-09-29","2019, 2020, 2022, 2023",6,"No","Yes","Yes","Yes","No"
"17","P_SDB_1",-57.5357490909091,-0.435855454545455,"2019-08-08 to 2023-10-20","2019, 2020, 2022, 2023",11,"Yes","Yes","Yes","Yes","No"
"18","P_SDB_2",-90.4064466666667,-0.669333333333333,"2019-08-08 to 2023-10-20","2019, 2020, 2023",6,"Yes","Yes","Yes","Yes","No"
"19","P_SDB_3",-38.74521,-0.286255714285714,"2019-08-08 to 2023-10-20","2019, 2020, 2023",7,"Yes","Yes","Yes","Yes","No"
"20","Poza 4",-90.45315,0.69476,"2018-06-21 to 2018-07-04","2018",3,"No","No","Yes","Yes","No"
"21","R_Chato",-90.431722,-0.267542,"2018-06-15 to 2023-09-29","2018, 2019, 2020, 2022, 2023",10,"Yes","Yes","Yes","Yes","No"
